alpha,instance,n,opt,lm1,lms1,lm2,lm3,lm4,gap_lm1_pct,gap_lms1_pct,gap_lm2_pct,gap_lm3_pct,gap_lm4_pct
0.25,mukherje_c=263.alb,94,17,16,16,3,5,,5.88235294117647,5.88235294117647,82.35294117647058,70.58823529411765,
0.25,mukherje_c=281.alb,94,16,15,15,3,5,,6.25,6.25,81.25,68.75,
0.25,mukherje_c=301.alb,94,15,14,14,2,4,,6.666666666666667,6.666666666666667,86.66666666666667,73.33333333333333,
0.25,mukherje_c=324.alb,94,14,13,13,1,4,,7.142857142857142,7.142857142857142,92.85714285714286,71.42857142857143,
0.25,mukherje_c=351.alb,94,13,12,12,0,2,,7.6923076923076925,7.6923076923076925,100.0,84.61538461538461,
0.25,sawyer30_c=25.alb,30,14,13,13,12,12,,7.142857142857142,7.142857142857142,14.285714285714285,14.285714285714285,
0.25,sawyer30_c=27.alb,30,13,12,12,12,11,,7.6923076923076925,7.6923076923076925,7.6923076923076925,15.384615384615385,
0.25,sawyer30_c=30.alb,30,12,11,11,8,9,,8.333333333333332,8.333333333333332,33.33333333333333,25.0,
0.25,sawyer30_c=36.alb,30,10,9,9,4,7,,10.0,10.0,60.0,30.0,
0.25,sawyer30_c=41.alb,30,8,8,8,2,6,,0.0,0.0,75.0,25.0,
0.25,sawyer30_c=54.alb,30,7,6,6,0,2,,14.285714285714285,14.285714285714285,100.0,71.42857142857143,
0.25,sawyer30_c=75.alb,30,5,5,5,0,1,,0.0,0.0,100.0,80.0,
0.25,scholl_c=1394.alb,297,50,50,50,13,15,,0.0,0.0,74.0,70.0,
0.25,scholl_c=1422.alb,297,50,49,49,13,14,,2.0,2.0,74.0,72.0,
0.25,scholl_c=1452.alb,297,48,48,48,13,14,,0.0,0.0,72.91666666666666,70.83333333333334,
0.25,scholl_c=1483.alb,297,47,47,47,11,12,,0.0,0.0,76.59574468085107,74.46808510638297,
0.25,scholl_c=1515.alb,297,46,46,46,11,12,,0.0,0.0,76.08695652173914,73.91304347826086,
0.25,scholl_c=1548.alb,297,46,45,45,11,11,,2.1739130434782608,2.1739130434782608,76.08695652173914,76.08695652173914,
0.25,scholl_c=1584.alb,297,44,44,44,10,10,,0.0,0.0,77.27272727272727,77.27272727272727,
0.25,scholl_c=1620.alb,297,44,43,43,10,9,,2.272727272727273,2.272727272727273,77.27272727272727,79.54545454545455,
0.25,scholl_c=1659.alb,297,42,42,42,10,9,,0.0,0.0,76.19047619047619,78.57142857142857,
0.25,scholl_c=1699.alb,297,42,41,41,9,9,,2.380952380952381,2.380952380952381,78.57142857142857,78.57142857142857,
0.25,scholl_c=1742.alb,297,40,40,40,8,9,,0.0,0.0,80.0,77.5,
0.25,scholl_c=1787.alb,297,39,39,39,6,9,,0.0,0.0,84.61538461538461,76.92307692307693,
